url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Servicio,Garage,Calefacción,Cocina,Año de Construcción,Jardín,Dormitorios Suite,Piscina,Orientación,Plantas,Parrillero,Acepta Mascotas,Superficie Balcones,Disposición,Pisos Edificio,Lavadero,Seguridad,Altura,Aptos por piso,Patio,Muebles,Propiedad Horizontal,Gastos Comúnes,Piso,Ascensor
https://www.casasymas.com.uy/propiedad/226114-casa-en-venta-de-1-dormitorio-en-jacinto-vera,U$S 70.000Venta,1,1,47 m²,47m²,,,,,Cocina Definida,1975,,,,Sur,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/225548-casa-en-alquiler-y-venta-de-5-dormitorios-en-montevideo-montevideo,U$S 1.390.000Venta,5,5,350 m²,350m²,1080m²,Dormitorios de Servicio: 1,Cochera: 0,,Cocina Definida,,Jardín,Dormitorios en Suite: 2,,Norte,2,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/225704-venta-casa-de-8-dormitorios-en-carrasco,U$S 760.000Venta,8,,301 m²,301m²,550m²,Dormitorios de Servicio: 1,,,Cocina Definida,,Jardín,,Piscina,Oeste,,,,301m²,,2,Lavadero,,,,Patio,,,,,
https://www.casasymas.com.uy/propiedad/220311-casa-en-venta-3-dormitorios-servicio-carrasco-sur-ref-1939,U$S 795.000Venta,3,4,227 m²,227m²,661m²,Dormitorios de Servicio: 1,Cochera: 4,Losa radiante a gas y radiadores,Cocina Definida,1998,Jardín,Dormitorios en Suite: 1,,Norte,,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/225305-casa-3-dormitorios-al-lago-proyecto-marinas-carrasco-ref-1172,U$S 705.000Venta,3,3,178.2 m²,130m²,289m²,,Cochera: 2,Losa radiante,Cocina Integrada,,Jardín,Dormitorios en Suite: 1,,,2,Parrillero,,47m²,,,,Seguridad 24hs.,,,,,,,,
https://www.casasymas.com.uy/propiedad/228491-casa-en-venta-en-malvin-de-3-dormitorios-y-parrillero-a-2-cuadras-de-la-playa,U$S 265.000Venta,3,1,109 m²,80m²,29m²,,Garaje: 1,,Cocina Definida,1985,Jardín,,,Norte,,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/190147-hermosa-casa-3-dorm-reciclada,U$S 298.000Venta,3,3,230 m²,177m²,230m²,,Garaje: 1,Hogar,Cocina Definida,1958,Jardín,,,,2,Parrillero,,40m²,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/940-casa-en-venta-de-3-dormitorios-con-garage-en-carrasco-montevideo,U$S 370.000Venta,3,3,130 m²,130m²,150m²,,Cochera: 1,losa radiante,Cocina Definida,2024,Jardín,Dormitorios en Suite: 1,Piscina,Norte,2,,Acepta Mascotas,20m²,,,,virtual,,,,Muebles,Propiedad Horizontal,,,
https://www.casasymas.com.uy/propiedad/205230-casa-de-3-dormitorios-en-punta-gorda,U$S 600.000Venta,3,2,,300m²,480m²,Dormitorios de Servicio: 1,Garaje: 1,,Cocina Definida,,,,Piscina,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/233538-casa-en-venta-de-3-dormitorios-con-garage-en-carrasco-montevideo,U$S 690.000Venta,3,2,535 m²,239m²,535m²,,Garaje: 1,,Cocina Definida,1984,,,Piscina,,,,,,Frente,,,,,,,,,,,
