url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Superficie Balcones,Garage,Parrillero,Orientación,Cocina,Año de Construcción,Jardín,Dormitorios Servicio,Calefacción,Acepta Mascotas,Piscina,Plantas,Seguridad,Disposición,Lavadero,Dormitorios Suite,Propiedad Horizontal,Muebles,Pisos Edificio,Altura,Aptos por piso,Gastos Comúnes,Patio,Piso
https://www.casasymas.com.uy/propiedad/116378-casa-en-venta-de-4-dormitorios-en-la-figurita-montevideo,U$S 105.000Venta,4,1,94 m²,94m²,,,,,Norte,Cocina Definida,,,,,,,,,,,,Propiedad Horizontal,,,,,,,
https://www.casasymas.com.uy/propiedad/108517-casa-de-dos-dormitorios-en-venta-en-pocitos,U$S 218.000Venta,2,1,120 m²,90m²,,10m²,Garaje: 0,,Norte,,,,,,,,1,,Frente,,,,,1,,,,,
https://www.casasymas.com.uy/propiedad/158792-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,U$S 890.000Venta,4,6,1814 m²,300m²,1814m²,,Garaje: 4,,,Cocina Definida,1960,Jardín,Dormitorios de Servicio: 1,,Acepta Mascotas,,,,,,Dormitorios en Suite: 2,,,,3m,1,,,
https://www.casasymas.com.uy/propiedad/177824-casa-en-venta-de-3-dormitorios-en-carrasco-norte-montevideo,U$S 495.000Venta,3,4,500 m²,135m²,500m²,,Garaje: 3,,,Cocina Definida,2007,Jardín,Dormitorios de Servicio: 1,,Acepta Mascotas,Piscina,,,,Lavadero,Dormitorios en Suite: 1,,,,3m,1,,,
https://www.casasymas.com.uy/propiedad/173683-casa-en-venta-de-4-dormitorios-con-garage-en-cordon-montevideo,U$S 175.000Venta,4,2,143 m²,143m²,143m²,,Garaje: 1,,,Cocina Definida,1,,,,Acepta Mascotas,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/154395-venta-casa-4-dormitorios-parque-batlle-montevideo,U$S 335.000Venta,4,3,119 m²,119m²,71m²,119m²,Garaje: 1,,Norte,,1,,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/111111-casa-en-venta-de-4-dormitorios-en-parque-batlle-montevideo,U$S 1.090.000Venta,4,3,606 m²,463m²,606m²,,Garaje: 2,Parrillero,Este,Cocina Definida,1948,Jardín,Dormitorios de Servicio: 1,,Acepta Mascotas,,2,,,,Dormitorios en Suite: 2,,,,,,,,
https://www.casasymas.com.uy/propiedad/196359-venta-de-casa-4-dormitorios-servicio-patio-garage-punta-carretas,U$S 725.000Venta,4,4,285 m²,285m²,177m²,,Garaje: 1,Parrillero,Sur,Cocina Definida,1929,Jardín,Dormitorios de Servicio: 1,,Acepta Mascotas,,2,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/172333-casa-en-venta-de-3-dormitorios-en-palermo-montevideo,U$S 147.000Venta,3,2,105 m²,105m²,,,,,Este,Cocina Definida,2025,,,,Acepta Mascotas,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/200968-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,U$S 695.000Venta,4,3,210 m²,210m²,,,Garaje: 2,,Norte,Cocina Definida,2025,Jardín,,,Acepta Mascotas,Piscina,,,,,,,,,,,,,
