url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Balcones,Garage,Año de Construcción,Superficie Terreno,Dormitorios Suite,Gastos Comúnes,Parrillero,Calefacción,Plantas,Cocina,Seguridad,Jardín,Acepta Mascotas,Dormitorios Servicio,Piscina,Orientación,Disposición,Propiedad Horizontal,Altura,Aptos por piso,Patio,Pisos Edificio,Muebles,Lavadero,Piso,Ascensor
https://www.casasymas.com.uy/propiedad/205562-oportunidad-2-casas-en-padron-de-630m2-acceso-vehicular,U$S 103.000Venta,3,1,630 m²,162m²,,Garaje: 4,2010,630m²,,,,,,Cocina Definida,,Jardín,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/204844-casa-en-venta-de-5-dormitorios-en-carrasco-montevideo,U$S 1.500.000Venta,5,4,1330 m²,730m²,,Garaje: 10,2008,1330m²,Dormitorios en Suite: 1,,,,,Cocina Definida,,Jardín,,Dormitorios de Servicio: 1,Piscina,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/154395-venta-casa-4-dormitorios-parque-batlle-montevideo,U$S 335.000Venta,4,3,119 m²,119m²,119m²,Garaje: 1,1,71m²,,,,,,,,,,,,Norte,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/185390-casa-en-venta-de-3-dormitorios-con-garage-en-parque-batlle-montevideo,U$S 285.000Venta,3,2,108 m²,108m²,,Garaje: 1,2007,108m²,,,,,,Cocina Definida,,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/177316-casa-en-venta-de-4-dormitorios-en-prado-montevideo,U$S 850.000Venta,4,2,612 m²,328m²,,Garaje: 4,1945,612m²,,,,,,Cocina Definida,,Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/204716-excelente-propiedad-en-dos-plantas-c-garaje-y-barbacoa,U$S 120.000Venta,4,2,350 m²,240m²,,Garaje: 3,1990,350m²,,,,,,Cocina Definida,,Jardín,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/200968-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,U$S 695.000Venta,4,3,210 m²,210m²,,Garaje: 2,2025,,,,,,,Cocina Definida,,Jardín,Acepta Mascotas,,Piscina,Norte,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/940-casa-en-venta-de-3-dormitorios-con-garage-en-carrasco-montevideo,U$S 380.000Venta,3,3,130 m²,130m²,20m²,Cochera: 1,2024,150m²,Dormitorios en Suite: 1,,Parrillero,losa radiante,2,Cocina Integrada,virtual,Jardín,Acepta Mascotas,,,Norte,,Propiedad Horizontal,,,,,,,,
https://www.casasymas.com.uy/propiedad/117530-casa-en-alquiler-y-venta-de-8-dormitorios-en-pocitos-montevideo,U$S 1.500.000Venta,8,5,,444m²,38m²,Garaje: 2,1928,666m²,,,Parrillero,radiadores por gas,2,Cocina Definida,rejas y alarma,Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,,Norte,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/204855-casa-en-venta-de-4-dormitorios-en-malvin-montevideo,U$S 590.000Venta,4,4,900 m²,450m²,,Garaje: 6,2010,900m²,Dormitorios en Suite: 1,,,,,Cocina Definida,,Jardín,,Dormitorios de Servicio: 1,Piscina,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/128325-excelente-casa-de-altos-duplex-a-1-cuadra-del-shopping,U$S 175.000Venta,3,2,100 m²,100m²,,,1948,,Dormitorios en Suite: 1,,Parrillero,Hogar,2,Cocina Definida,,,Acepta Mascotas,,,,,Propiedad Horizontal,,,,,,,,
https://www.casasymas.com.uy/propiedad/139790-venta-casa-ph-3-dormitorios-en-carrasco-sur-proyecto-casa-h-ref-1641,U$S 810.000Venta,3,3,195 m²,195m²,27m²,Garaje: 2,,,Dormitorios en Suite: 1,,Parrillero,,2,Cocina Integrada,,Jardín,Acepta Mascotas,,,,,Propiedad Horizontal,,,,,Muebles,,,
https://www.casasymas.com.uy/propiedad/90237-casa-en-venta-de-2-dormitorios-en-carrasco-montevideo,U$S 203.400Venta,2,2,,60m²,,Cochera: 0,,,,,Parrillero,,,,,Jardín,,,Piscina,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/175712-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,U$S 367.000Venta,4,4,142 m²,142m²,142m²,,1,150m²,,,,,,,,Jardín,Acepta Mascotas,,,Oeste,Frente,,,,Patio,1,,Lavadero,,
https://www.casasymas.com.uy/propiedad/186603-casa-en-venta-de-4-dormitorios-en-parque-batlle-montevideo,U$S 675.000Venta,4,4,,242m²,,Garaje: 2,,268m²,,,Parrillero,,3,,,Jardín,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/165774-palacio-delucchi,U$S 2.900.000Venta,7,5,,2461m²,,Garaje: 6,1891,722m²,,,,,2,Cocina Definida,,,,Dormitorios de Servicio: 4,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/136404-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,U$S 570.000Venta,3,2,240 m²,240m²,,Garaje: 2,1950,645m²,Dormitorios en Suite: 1,,Parrillero,Radiadores a gasoil,2,Cocina Definida,"Alarma, rejas",Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,,Sur,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/183425-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,U$S 380.000Venta,3,2,200 m²,109m²,,,1,200m²,Dormitorios en Suite: 1,,,,,Cocina Definida,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/204867-casa-en-venta-de-3-dormitorios-en-punta-gorda-montevideo,U$S 550.000Venta,3,5,480 m²,318m²,,Garaje: 5,2015,480m²,Dormitorios en Suite: 1,,,,,Cocina Definida,,Jardín,,Dormitorios de Servicio: 1,Piscina,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/173084-oportunidad-unica-en-carrasco-ideal-para-empresa-o-inversion,U$S 1.650.000Venta,10,10,972 m²,895m²,,Garaje: 2,1949,,,,Parrillero,,2,,,,,,,Este,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/133032-casa-en-venta-3-dormitorios-servicio-carrasco-sur-ref-1622,U$S 750.000Venta,3,4,298 m²,298m²,,Cochera: 3,,462m²,Dormitorios en Suite: 1,,Parrillero,Losa radiante eléctrica,2,Cocina Definida,,Jardín,,Dormitorios de Servicio: 1,Piscina,Este,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/168585-oportunidad-gran-terreno-en-esquina-sobre-av-italia,U$S 640.000Venta,4,2,238 m²,218m²,,Garaje: 2,1959,899m²,,,,Aire Acondicionado y hogar,1,Cocina Definida,CCTV,Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,Piscina,Oeste,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/204693-excelente-ubicacion-en-el-prado-casa-en-venta,U$S 172.000Venta,3,,100 m²,80m²,,,1975,100m²,,,,,,Cocina Definida,,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/173683-casa-en-venta-de-4-dormitorios-con-garage-en-cordon-montevideo,U$S 175.000Venta,4,2,143 m²,143m²,,Garaje: 1,1,143m²,,,,,,Cocina Definida,,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/169046-proximo-a-millan-y-micenas-padron-unico-en-1-planta,U$S 248.000Venta,3,2,255 m²,90m²,,Cochera: 1,1923,255m²,Dormitorios en Suite: 1,,Parrillero,Hogar,1,Cocina Definida,,Jardín,,Dormitorios de Servicio: 2,,Oeste,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/200979-casa-en-venta-de-12-dormitorios-en-cordon-montevideo,U$S 550.000Venta,12,5,423 m²,370m²,,Garaje: 0,,138m²,,,,,3,,,,,,,Norte,,,,,,3,,,,
https://www.casasymas.com.uy/propiedad/66552-casa-en-alquiler-y-venta-de-6-dormitorios-en-carrasco-norte-montevideo,U$S 1.700.000Venta,6,6,10143 m²,648m²,,Garaje: 4,1946,10143m²,Dormitorios en Suite: 1,,Parrillero,Bomba a gasoil nueva,2,Cocina Definida,,Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,,Oeste,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/195315-casa-en-venta-de-3-dormitorios-con-garage-en-pocitos-montevideo,U$S 345.000Venta,3,2,134 m²,134m²,,Garaje: 1,1,,,,,,,Cocina Definida,,,Acepta Mascotas,,,Oeste,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/188273-casa-en-venta-de-3-dormitorios-con-garage-en-carrasco-montevideo,U$S 1.280.000Venta,3,6,480 m²,386m²,94m²,Garaje: 1,1974,,,,Parrillero,,2,Cocina Definida,,Jardín,Acepta Mascotas,,,Norte,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/185266-casa-en-venta-de-2-dormitorios-en-brazo-oriental-montevideo,U$S 160.000Venta,2,1,170 m²,135m²,,,1965,35m²,,,,,,Cocina Definida,,Jardín,Acepta Mascotas,,,Norte,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/146765-casa-en-venta-de-6-dormitorios-en-punta-gorda-montevideo,U$S 645.000Venta,6,4,270 m²,270m²,,Garaje: 3,,510m²,,,,,2,,,,,,Piscina,Norte,Frente,,,,,2,,,,
https://www.casasymas.com.uy/propiedad/196086-casa-en-venta-de-4-dormitorios-en-malvin-montevideo,U$S 800.000Venta,4,2,2220 m²,236m²,,Cochera: 3,,,,,Parrillero,,1,Cocina Definida,,Jardín,Acepta Mascotas,,Piscina,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/74195-casa-en-venta-de-3-dormitorios-en-punta-carretas-montevideo,U$S 439.000Venta,3,3,338 m²,338m²,,Garaje: 0,,235m²,,,,,2,,,,,,,Oeste,,,,,,2,,,,
https://www.casasymas.com.uy/propiedad/141074-casa-en-venta-de-3-dormitorios-con-garage-en-pocitos-montevideo,U$S 278.000Venta,3,2,145 m²,106m²,,Garaje: 1,1940,,Dormitorios en Suite: 1,,Parrillero,,2,Cocina Integrada,,Jardín,Acepta Mascotas,,,Este,,,,,,,,,,
