url,precio,Baños,Superficie,Superficie Construida,Superficie Terreno,Garage,Jardín,Plantas,Acepta Mascotas,Dormitorio,barrio,municipio,precio_por_m2_construido,precio_por_m2_terreno,precio_por_m2
https://www.casasymas.com.uy/propiedad/222586-casa-en-venta-de-5-dormitorios-en-punta-gorda-montevideo,580000.0,3.0,586.0,195.0,586.0,0,Jardín,,,5.0,punta-gorda,E,2974.358974358974,989.7610921501706,989.7610921501706
https://www.casasymas.com.uy/propiedad/186603-casa-en-venta-de-4-dormitorios-en-parque-batlle-montevideo,675000.0,4.0,,242.0,268.0,0,Jardín,3.0,,4.0,parque-batlle,CH,2789.2561983471073,2518.6567164179105,
https://www.casasymas.com.uy/propiedad/227830-casa-en-venta-c-cochera-en-punta-carretas,298000.0,2.0,104.0,94.0,10.0,0,,,Acepta Mascotas,3.0,punta-carretas,CH,3170.2127659574467,29800.0,2865.3846153846152
https://www.casasymas.com.uy/propiedad/212637-casa-en-venta-de-2-dormitorios-en-belvedere,148000.0,2.0,131.0,98.0,131.0,0,,,Acepta Mascotas,2.0,belvedere,A,1510.204081632653,1129.7709923664122,1129.7709923664122
https://www.casasymas.com.uy/propiedad/225135-venta-casa-4-dormitorios-3-banos-y-cochera-en-carrasco-sur-montevideo,625000.0,3.0,408.0,234.0,174.0,0,Jardín,,Acepta Mascotas,4.0,carrasco,E,2670.940170940171,3591.9540229885056,1531.862745098039
https://www.casasymas.com.uy/propiedad/225720-venta-casa-3-dormitorios-carrasco,580000.0,2.0,285.0,156.0,201.0,0,Jardín,,,3.0,carrasco,E,3717.948717948718,2885.572139303483,2035.0877192982457
https://www.casasymas.com.uy/propiedad/90237-casa-en-venta-de-2-dormitorios-en-carrasco-montevideo,203400.0,2.0,,60.0,,0,Jardín,,,2.0,carrasco,E,3390.0,,
https://www.casasymas.com.uy/propiedad/186448-casa-en-venta-de-4-dormitorios-en-pocitos-montevideo,670000.0,4.0,,249.0,321.0,0,Jardín,2.0,Acepta Mascotas,4.0,pocitos,CH,2690.7630522088352,2087.227414330218,
https://www.casasymas.com.uy/propiedad/225721-venta-casa-3-dormitorios-carrasco,620000.0,2.0,360.0,155.0,278.0,0,Jardín,,,3.0,carrasco,E,4000.0,2230.2158273381297,1722.2222222222222
https://www.casasymas.com.uy/propiedad/179495-casa-en-venta-de-4-dormitorios-con-garage-en-pocitos-montevideo,335000.0,2.0,137.0,137.0,164.0,0,,3.0,Acepta Mascotas,4.0,pocitos,CH,2445.2554744525546,2042.6829268292684,2445.2554744525546
