url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Servicio,Garage,Calefacción,Cocina,Año de Construcción,Jardín,Dormitorios Suite,Piscina,Orientación,Plantas,Parrillero,Acepta Mascotas,Superficie Balcones,Disposición,Pisos Edificio,Lavadero,Seguridad,Altura,Aptos por piso,Patio,Muebles,Propiedad Horizontal,Gastos Comúnes,Piso,Ascensor
https://www.casasymas.com.uy/propiedad/222586-casa-en-venta-de-5-dormitorios-en-punta-gorda-montevideo,U$S 580.000Venta,5,3,586 m²,195m²,586m²,Dormitorios de Servicio: 1,Garaje: 5,,Cocina Definida,1960,Jardín,,,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/194576-venta-casa-4-dormitorios-servicio-punta-gorda-ref-1879,U$S 850.000Venta,4,5,295 m²,277m²,594m²,Dormitorios de Servicio: 1,Garaje: 1,Losa radiante a gas,,1941,Jardín,Dormitorios en Suite: 1,Piscina,Oeste,2,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/186603-casa-en-venta-de-4-dormitorios-en-parque-batlle-montevideo,U$S 675.000Venta,4,4,,242m²,268m²,,Garaje: 2,,,,Jardín,,,,3,Parrillero,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/227830-casa-en-venta-c-cochera-en-punta-carretas,U$S 298.000Venta,3,2,104 m²,94m²,10m²,,Garaje: 1,,,1930,,,,,,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/212637-casa-en-venta-de-2-dormitorios-en-belvedere,U$S 148.000Venta,2,2,131 m²,98m²,131m²,,Garaje: 1,,Cocina Integrada,,,,,,,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/225135-venta-casa-4-dormitorios-3-banos-y-cochera-en-carrasco-sur-montevideo,U$S 625.000Venta,4,3,408 m²,234m²,174m²,,Garaje: 1,,Cocina Definida,2025,Jardín,,,Este,,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/225720-venta-casa-3-dormitorios-carrasco,U$S 580.000Venta,3,2,285 m²,156m²,201m²,,,,,,Jardín,,,Norte,,,,285m²,Frente,2,Lavadero,,,,,,,,,
https://www.casasymas.com.uy/propiedad/90237-casa-en-venta-de-2-dormitorios-en-carrasco-montevideo,U$S 203.400Venta,2,2,,60m²,,,Cochera: 0,,,,Jardín,,Piscina,,,Parrillero,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/186448-casa-en-venta-de-4-dormitorios-en-pocitos-montevideo,U$S 670.000Venta,4,4,,249m²,321m²,,Garaje: 2,,,1927,Jardín,Dormitorios en Suite: 1,Piscina,Este,2,,Acepta Mascotas,31m²,,,,Rejas alarma,,,,,,,,
https://www.casasymas.com.uy/propiedad/225721-venta-casa-3-dormitorios-carrasco,U$S 620.000Venta,3,2,360 m²,155m²,278m²,,,,,,Jardín,,Piscina,Norte,,,,360m²,Frente,2,,,,,,,,,,
