url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Suite,Garage,Parrillero,Calefacción,Orientación,Popiedad Horizontal,Plantas,Cocina,Año de Construcción,Jardín,Acepta Mascotas,Gastos Comúnes,Piscina,Seguridad,Disposición,Superficie Balcones,Dormitorios Servicio,Pisos Edificio,Patio,Muebles,Altura,Aptos por piso,Lavadero
https://www.casasymas.com.uy/propiedad/95141-casa-en-venta-de-4-dormitorios-en-carrasco-norte-montevideo,U$S 850.000Venta,4,4,1005 m²,338m²,1005m²,Dormitorios en Suite: 2,Garaje: 4,,,Norte,,,,1,,,,Piscina,,,,Dormitorios de Servicio: 1,,,,,,
https://www.casasymas.com.uy/propiedad/158904-casa-en-venta-de-1-dormitorio-en-parque-batlle-montevideo,U$S 185.000Venta,1,1,85 m²,65m²,85m²,,,,,,,,Cocina Definida,1943,,,,,,,,,,Patio,,3m,1,
https://www.casasymas.com.uy/propiedad/117861-casa-en-venta-de-3-dormitorios-en-malvin-montevideo,U$S 380.000Venta,3,2,217 m²,217m²,280m²,,Garaje: 0,,,Norte,,2,,,,,,,,Frente,,,2,,,,,
https://www.casasymas.com.uy/propiedad/154364-casa-de-tres-dormitorios-en-venta-en-malvin-norte,U$S 180.000Venta,3,1,,70m²,135m²,,Garaje: 1,,,Norte,,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/185077-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,U$S 410.000Venta,3,3,290 m²,140m²,290m²,Dormitorios en Suite: 1,Garaje: 2,,,,,,Cocina Definida,1994,Jardín,Acepta Mascotas,,,,,,,,,,3m,1,Lavadero
https://www.casasymas.com.uy/propiedad/187179-casa-en-venta-de-3-dormitorios-con-garage-en-cordon-montevideo,U$S 210.000Venta,3,3,212 m²,212m²,,,Garaje: 1,,,Sur,,,Cocina Definida,85,,,,,,,,,,Patio,,,,
https://www.casasymas.com.uy/propiedad/53317-casa-en-venta-de-3-dormitorios-en-sayago-montevideo,U$S 168.000Venta,3,1,342 m²,250m²,342m²,,,,,,,,Cocina Definida,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/168074-casa-en-venta-de-3-dormitorios-en-villa-espanola-montevideo,U$S 67.000Venta,3,1,110 m²,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/178956-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,U$S 635.000Venta,4,3,510 m²,242m²,510m²,,,,,,,,,1,,,,Piscina,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/131611-casa-en-venta-de-2-dormitorios-con-garage-en-malvin-montevideo,U$S 345.000Venta,2,1,102 m²,102m²,226m²,,Garaje: 1,,,Norte,,2,,,,,,,,Frente,,,2,,,,,
https://www.casasymas.com.uy/propiedad/167424-venta-con-renta-casa-ph-duplex-2-dormitorios-2-banos-cochera-patio-a-estrenarcarrasco-norte,U$S 230.000Venta,2,2,81 m²,66m²,790m²,,Cochera: 1,,,Oeste,Popiedad Horizontal,2,Cocina Integrada,2024,Jardín,Acepta Mascotas,UYU 1500,,cerca eléctrica y cámaras,,15m²,,,,,,,
https://www.casasymas.com.uy/propiedad/156024-casa-en-venta-de-3-dormitorios-en-jardines-del-hipodromo-montevideo,U$S 85.000Venta,3,1,495 m²,250m²,495m²,,,,,,,,Cocina Definida,,,,,,,Frente,,,,,,,,
