url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Suite,Garage,Parrillero,Calefacción,Orientación,Popiedad Horizontal,Plantas,Cocina,Año de Construcción,Jardín,Acepta Mascotas,Gastos Comúnes,Piscina,Seguridad,Disposición,Superficie Balcones,Dormitorios Servicio,Pisos Edificio,Patio,Muebles,Altura,Aptos por piso,Lavadero
https://www.casasymas.com.uy/propiedad/15925-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,U$S 380.000Venta,3,3,130 m²,110m²,20m²,Dormitorios en Suite: 1,Cochera: 0,Parrillero,,,,2,Cocina Integrada,2023,Jardín,Acepta Mascotas,$U 4500,,Cerca eléctrica,,,,,,,,,
https://www.casasymas.com.uy/propiedad/163087-casa-en-venta-de-3-dormitorios-con-garage-en-carrasco-montevideo,U$S 385.000Venta,3,2,207 m²,114m²,207m²,Dormitorios en Suite: 1,Garaje: 1,,,,,,Cocina Definida,2025,Jardín,Acepta Mascotas,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/175617-casa-en-venta-de-2-dormitorios-en-pocitos-montevideo,U$S 165.000Venta,2,1,80 m²,70m²,80m²,,,,,,,,Cocina Definida,1960,,,UYU 4500,,,,,,,Patio,,3m,1,Lavadero
https://www.casasymas.com.uy/propiedad/83552-casa-en-venta-de-3-dormitorios-en-pocitos-montevideo,U$S 274.000Venta,3,2,93 m²,93m²,112m²,,Garaje: 0,,,Sur,,1,,,,,,,,Frente,,,1,,,,,
https://www.casasymas.com.uy/propiedad/76502-casa-en-venta-de-3-dormitorios-en-sayago-montevideo,U$S 130.000Venta,3,1,564 m²,82m²,564m²,,Garaje: 2,Parrillero,Estufa a leña,Norte,,,Cocina Definida,,,,,,Rejas,,,,,,,,,
https://www.casasymas.com.uy/propiedad/105515-casa-en-venta-de-2-dormitorios-en-cordon-montevideo,U$S 138.000Venta,2,1,93 m²,93m²,94m²,,Garaje: 0,,,Norte,,1,,,,,,,,Frente,,,1,,,,,
https://www.casasymas.com.uy/propiedad/177824-casa-en-venta-de-3-dormitorios-en-carrasco-norte-montevideo,U$S 495.000Venta,3,4,500 m²,135m²,500m²,Dormitorios en Suite: 1,Garaje: 3,,,,,,Cocina Definida,2007,Jardín,Acepta Mascotas,,Piscina,,,,Dormitorios de Servicio: 1,,,,3m,1,Lavadero
https://www.casasymas.com.uy/propiedad/174013-casa-en-venta-de-3-dormitorios-en-centro-montevideo,U$S 111.000Venta,3,1,90 m²,90m²,90m²,,,,estufa,Norte,Popiedad Horizontal,1,Cocina Integrada,1940,,Acepta Mascotas,,,Puerta Blindada,,,,,,,,,
https://www.casasymas.com.uy/propiedad/142090-casa-en-venta-de-3-dormitorios-con-garage-en-malvin-montevideo,U$S 470.000Venta,3,3,264 m²,167m²,,,Cochera: 1,,,Este,,2,Cocina Definida,1954,Jardín,Acepta Mascotas,,,,,,Dormitorios de Servicio: 1,,,,,,
https://www.casasymas.com.uy/propiedad/169404-casa-en-venta-de-3-dormitorios-en-paso-molino-montevideo,U$S 230.000Venta,3,2,169 m²,169m²,168m²,,Garaje: 3,,,Norte,,2,,,,,,,,,,,2,,,,,
https://www.casasymas.com.uy/propiedad/103819-casa-en-venta-de-10-dormitorios-en-malvin-montevideo,U$S 690.000Venta,10,5,630 m²,570m²,630m²,,,,Estufa a leña,,,,Cocina Definida,,,,,Piscina,,,,Dormitorios de Servicio: 1,,,,,,
https://www.casasymas.com.uy/propiedad/190507-casa-en-venta-de-3-dormitorios-con-garage-en-sayago-montevideo,U$S 172.000Venta,3,2,498 m²,150m²,498m²,,Garaje: 1,Parrillero,,Oeste,,1,Cocina Definida,1943,Jardín,Acepta Mascotas,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/93952-casa-en-venta-de-3-dormitorios-en-parque-batlle-montevideo,U$S 290.000Venta,3,2,136 m²,136m²,136m²,,Garaje: 0,,,Oeste,,3,,,,,,,,Frente,,,3,,,,,
https://www.casasymas.com.uy/propiedad/118322-casa-en-venta-de-4-dormitorios-con-garage-en-jacinto-vera-montevideo,U$S 395.000Venta,4,6,633 m²,304m²,633m²,,Garaje: 1,,,Norte,,,Cocina Definida,1966,,,,,,Frente,,,,,,,,
https://www.casasymas.com.uy/propiedad/146602-casa-en-venta-de-2-dormitorios-con-garage-en-sayago-montevideo,U$S 160.000Venta,2,1,191 m²,123m²,191m²,,Cochera: 1,Parrillero,aire acondicionado y estufa,Oeste,Popiedad Horizontal,1,Cocina Integrada,1959,Jardín,Acepta Mascotas,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/185878-venta-casa-de-3-dormitorios-2-banos-y-cochera-en-malvin,U$S 329.990Venta,3,2,168 m²,146m²,,,,,,Oeste,Popiedad Horizontal,3,,1,Jardín,Acepta Mascotas,,,,Frente,168m²,,1,,,,,
https://www.casasymas.com.uy/propiedad/172333-casa-en-venta-de-3-dormitorios-en-palermo-montevideo,U$S 147.000Venta,3,2,105 m²,105m²,,,,,,Este,,,Cocina Definida,2025,,Acepta Mascotas,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/183221-casa-de-cuatro-dormitorios-en-venta-en-punta-carretas,U$S 420.000Venta,4,1,220 m²,220m²,,,Garaje: 1,,,Sur,,2,,,,,,,,,40m²,,,,,,,
https://www.casasymas.com.uy/propiedad/106643-casa-en-venta-de-3-dormitorios-en-carrasco-sur-montevideo,U$S 375.000Venta,3,3,,100m²,200m²,Dormitorios en Suite: 1,Cochera: 0,Parrillero,LOSA RADIANTE,Oeste,Popiedad Horizontal,2,Cocina Definida,1997,Jardín,Acepta Mascotas,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/163851-casa-en-venta-de-3-dormitorios-con-garage-en-buceo-montevideo,U$S 280.000Venta,3,3,180 m²,,,,Garaje: 1,Parrillero,"Aire acondicionado, estufa a leña.",,,,Cocina Definida,,,,,,REJAS,,,,,,,,,
https://www.casasymas.com.uy/propiedad/142144-casa-en-venta-de-3-dormitorios-en-colon-montevideo,U$S 160.000Venta,3,1,515 m²,146m²,,,Cochera: 3,Parrillero,,Norte,,1,Cocina Definida,1960,Jardín,Acepta Mascotas,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/176366-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,U$S 640.000Venta,3,3,,154m²,288m²,Dormitorios en Suite: 1,Cochera: 2,Parrillero,,Norte,Popiedad Horizontal,2,Cocina Integrada,2024,Jardín,,,Piscina,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/103820-casa-en-venta-de-7-dormitorios-en-carrasco-montevideo,U$S 549.000Venta,7,5,752 m²,332m²,752m²,,Garaje: 3,,,,,,Cocina Definida,,Jardín,,,,,,,Dormitorios de Servicio: 1,,,,,,
https://www.casasymas.com.uy/propiedad/122464-casa-en-venta-de-3-dormitorios-con-garage-en-buceo-montevideo,U$S 198.000Venta,3,1,110 m²,75m²,110m²,,Garaje: 1,,,Norte,,1,,,,,,,,Frente,,,1,,,,,
https://www.casasymas.com.uy/propiedad/124011-casa-en-venta-de-3-dormitorios-en-san-nicolas-montevideo,U$S 1.400.000Venta,3,3,1193 m²,220m²,1193m²,Dormitorios en Suite: 1,Garaje: 2,,,Norte,,,,1,,,U$S 650,Piscina,,,,Dormitorios de Servicio: 1,,,,,,
https://www.casasymas.com.uy/propiedad/166257-casa-en-venta-de-5-dormitorios-en-san-nicolas-montevideo,U$S 1.300.000Venta,5,5,755 m²,273m²,755m²,Dormitorios en Suite: 1,Cochera: 5,Parrillero,Losa Radiante / Bomba de calor / AA,Norte,,2,Cocina Definida,2013,Jardín,Acepta Mascotas,$U 20000,Piscina,Vigilancia 24 hs,,,Dormitorios de Servicio: 1,,,,,,
https://www.casasymas.com.uy/propiedad/145158-casa-en-venta-de-2-dormitorios-en-camino-maldonado-montevideo,U$S 92.000Venta,2,1,500 m²,93m²,,,Cochera: 3,Parrillero,,Sur,Popiedad Horizontal,,Cocina Definida,1970,,Acepta Mascotas,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/89923-casa-en-venta-de-4-dormitorios-en-punta-gorda-montevideo,U$S 398.000Venta,4,2,190 m²,143m²,195m²,,Garaje: 6,,,Este,,2,,,,,,,,Frente,,,2,,,,,
https://www.casasymas.com.uy/propiedad/188277-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,U$S 890.000Venta,4,4,749 m²,330m²,,,Garaje: 2,Parrillero,,Este,,2,Cocina Definida,1987,Jardín,Acepta Mascotas,,Piscina,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/57343-casa-en-venta-de-3-dormitorios-con-garage-en-pocitos-nuevo-montevideo,U$S 325.000Venta,3,2,158 m²,158m²,73m²,,Garaje: 1,Parrillero,,Este,,2,Cocina Definida,,Jardín,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/125336-casa-en-venta-de-3-dormitorios-en-malvin-montevideo,U$S 385.000Venta,3,2,280 m²,217m²,,,Garaje: 3,,estufa a leña estufa grande de alto rendimiento. Aire acodicionado,,Popiedad Horizontal,,Cocina Definida,,,,,,"Rejas Perimetrales: Con portón motorizado. Sistema de Seguridad Completo: Incluye cerca eléctrica, sensores y cámaras exteriores. Rejas en Todas las Aberturas.",,,Dormitorios de Servicio: 1,,,,,,
https://www.casasymas.com.uy/propiedad/163178-casa-en-venta-de-3-dormitorios-con-garage-en-prado-montevideo,U$S 420.000Venta,3,3,,165m²,335m²,Dormitorios en Suite: 1,Garaje: 1,Parrillero,"Aire acondicionado, estufa a leña.",,,1,Cocina Integrada,,Jardín,Acepta Mascotas,,,"rejas, alarma, cerca perimetral",,,,,,,,,
