url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Suite,Garage,Parrillero,Calefacción,Orientación,Popiedad Horizontal,Plantas,Cocina,Año de Construcción,Jardín,Acepta Mascotas,Gastos Comúnes,Piscina,Seguridad,Disposición,Superficie Balcones,Dormitorios Servicio,Pisos Edificio,Patio,Muebles,Altura,Aptos por piso,Lavadero,Dormitorio
https://www.casasymas.com.uy/propiedad/188809-venta-de-casa-de-4-dormitorios-en-brazo-oriental,219000.0,4,2.0,420.0,106.0,420.0,0,0,,,Norte,,,Cocina Definida,,,,,,,Frente,420.0,0,1.0,Patio,,,,,4.0
https://www.casasymas.com.uy/propiedad/177316-casa-en-venta-de-4-dormitorios-en-prado-montevideo,850000.0,4,2.0,612.0,328.0,612.0,0,4,,,,,,Cocina Definida,1945.0,Jardín,Acepta Mascotas,,,,,,1,,,,,,,4.0
https://www.casasymas.com.uy/propiedad/1980-casa-en-venta-de-3-dormitorios-en-jardines-de-carrasco-montevideo,530000.0,3,3.0,,125.0,180.0,1,2,Parrillero,,,Popiedad Horizontal,2.0,Cocina Integrada,2023.0,Jardín,,,Piscina,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/90752-casa-en-venta-de-5-dormitorios-con-garage-en-punta-gorda-montevideo,649000.0,5,4.0,360.0,360.0,,1,1,Parrillero,,Norte,,2.0,Cocina Definida,,Jardín,Acepta Mascotas,,Piscina,,,,0,,,,,,,5.0
https://www.casasymas.com.uy/propiedad/174089-casa-en-venta-de-3-dormitorios-con-garage-en-pocitos-montevideo,360000.0,3,2.0,134.0,134.0,,0,1,,,Oeste,,,Cocina Definida,1972.0,,Acepta Mascotas,,,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/82127-vendo-casa-de-4-dormitorios-en-paso-molino,240000.0,4,3.0,390.0,302.0,390.0,0,4,Parrillero,,Este,,,Cocina Definida,1978.0,Jardín,,,,,,8.0,0,,,,,,,4.0
https://www.casasymas.com.uy/propiedad/161255-casa-en-venta-de-2-dormitorios-en-carrasco-montevideo,375000.0,2,2.0,160.0,110.0,160.0,0,3,,,,,,Cocina Definida,1970.0,,Acepta Mascotas,,,,,,0,,,,,,,2.0
https://www.casasymas.com.uy/propiedad/161247-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,880000.0,4,6.0,1005.0,338.0,1005.0,2,4,,,,,,Cocina Definida,1989.0,Jardín,Acepta Mascotas,,Piscina,,,,1,,,,,,,4.0
https://www.casasymas.com.uy/propiedad/118244-casa-en-venta-de-3-dormitorios-con-garage-en-conciliacion-montevideo,59500.0,3,1.0,195.0,72.0,195.0,0,1,,,,,,Cocina Definida,,,,,,,Frente,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/183835-venta-casa-punta-carretas,349000.0,3,3.0,125.0,125.0,,0,0,,,Norte,,,Cocina Definida,,,,,,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/72326-casas-en-alquiler-3-dormitorios-piscina-en-carrasco,1150000.0,3,4.0,856.0,301.0,856.0,1,1,,Gas oil,Norte,,2.0,Cocina Definida,,Jardín,Acepta Mascotas,,Piscina,,,,1,,,Muebles,,,,3.0
https://www.casasymas.com.uy/propiedad/130373-casa-en-venta-de-3-dormitorios-en-carrasco-norte-montevideo,385000.0,3,3.0,,114.0,76.0,1,0,Parrillero,,,,,Cocina Integrada,,Jardín,,,,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/169046-casa-en-venta-de-3-dormitorios-con-garage-en-atahualpa-montevideo,248000.0,3,2.0,255.0,90.0,255.0,1,1,Parrillero,Hogar,Oeste,,1.0,Cocina Definida,1923.0,Jardín,,,Piscina,,,,2,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/188294-casa-en-venta-de-5-dormitorios-con-garage-en-carrasco-montevideo,770000.0,5,3.0,277.0,277.0,,0,1,Parrillero,,Oeste,,2.0,Cocina Definida,1965.0,Jardín,Acepta Mascotas,,,,,15.0,0,,,,,,,5.0
https://www.casasymas.com.uy/propiedad/116424-casa-en-venta-de-3-dormitorios-con-garage-en-union-montevideo,89000.0,3,2.0,100.0,,,0,1,,,Este,Popiedad Horizontal,,,,,Acepta Mascotas,,,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/15925-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,380000.0,3,3.0,130.0,110.0,20.0,1,0,Parrillero,,,,2.0,Cocina Integrada,2023.0,Jardín,Acepta Mascotas,,,Cerca eléctrica,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/163087-casa-en-venta-de-3-dormitorios-con-garage-en-carrasco-montevideo,385000.0,3,2.0,207.0,114.0,207.0,1,1,,,,,,Cocina Definida,2025.0,Jardín,Acepta Mascotas,,,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/175617-casa-en-venta-de-2-dormitorios-en-pocitos-montevideo,165000.0,2,1.0,80.0,70.0,80.0,0,0,,,,,,Cocina Definida,1960.0,,,4500.0,,,,,0,,Patio,,3.0,1.0,Lavadero,2.0
https://www.casasymas.com.uy/propiedad/83552-casa-en-venta-de-3-dormitorios-en-pocitos-montevideo,274000.0,3,2.0,93.0,93.0,112.0,0,0,,,Sur,,1.0,,,,,,,,Frente,,0,1.0,,,,,,3.0
https://www.casasymas.com.uy/propiedad/76502-casa-en-venta-de-3-dormitorios-en-sayago-montevideo,130000.0,3,1.0,564.0,82.0,564.0,0,2,Parrillero,Estufa a leña,Norte,,,Cocina Definida,,,,,,Rejas,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/105515-casa-en-venta-de-2-dormitorios-en-cordon-montevideo,138000.0,2,1.0,93.0,93.0,94.0,0,0,,,Norte,,1.0,,,,,,,,Frente,,0,1.0,,,,,,2.0
https://www.casasymas.com.uy/propiedad/177824-casa-en-venta-de-3-dormitorios-en-carrasco-norte-montevideo,495000.0,3,4.0,500.0,135.0,500.0,1,3,,,,,,Cocina Definida,2007.0,Jardín,Acepta Mascotas,,Piscina,,,,1,,,,3.0,1.0,Lavadero,3.0
https://www.casasymas.com.uy/propiedad/174013-casa-en-venta-de-3-dormitorios-en-centro-montevideo,111000.0,3,1.0,90.0,90.0,90.0,0,0,,estufa,Norte,Popiedad Horizontal,1.0,Cocina Integrada,1940.0,,Acepta Mascotas,,,Puerta Blindada,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/142090-casa-en-venta-de-3-dormitorios-con-garage-en-malvin-montevideo,470000.0,3,3.0,264.0,167.0,,0,1,,,Este,,2.0,Cocina Definida,1954.0,Jardín,Acepta Mascotas,,,,,,1,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/169404-casa-en-venta-de-3-dormitorios-en-paso-molino-montevideo,230000.0,3,2.0,169.0,169.0,168.0,0,3,,,Norte,,2.0,,,,,,,,,,0,2.0,,,,,,3.0
https://www.casasymas.com.uy/propiedad/103819-casa-en-venta-de-10-dormitorios-en-malvin-montevideo,690000.0,10,5.0,630.0,570.0,630.0,0,0,,Estufa a leña,,,,Cocina Definida,,,,,Piscina,,,,1,,,,,,,10.0
https://www.casasymas.com.uy/propiedad/93952-casa-en-venta-de-3-dormitorios-en-parque-batlle-montevideo,290000.0,3,2.0,136.0,136.0,136.0,0,0,,,Oeste,,3.0,,,,,,,,Frente,,0,3.0,,,,,,3.0
https://www.casasymas.com.uy/propiedad/146602-casa-en-venta-de-2-dormitorios-con-garage-en-sayago-montevideo,160000.0,2,1.0,191.0,123.0,191.0,0,1,Parrillero,aire acondicionado y estufa,Oeste,Popiedad Horizontal,1.0,Cocina Integrada,1959.0,Jardín,Acepta Mascotas,,,,,,0,,,,,,,2.0
https://www.casasymas.com.uy/propiedad/185878-venta-casa-de-3-dormitorios-2-banos-y-cochera-en-malvin,329990.0,3,2.0,168.0,146.0,,0,0,,,Oeste,Popiedad Horizontal,3.0,,1.0,Jardín,Acepta Mascotas,,,,Frente,168.0,0,1.0,,,,,,3.0
https://www.casasymas.com.uy/propiedad/172333-casa-en-venta-de-3-dormitorios-en-palermo-montevideo,147000.0,3,2.0,105.0,105.0,,0,0,,,Este,,,Cocina Definida,2025.0,,Acepta Mascotas,,,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/183221-casa-de-cuatro-dormitorios-en-venta-en-punta-carretas,420000.0,4,1.0,220.0,220.0,,0,1,,,Sur,,2.0,,,,,,,,,40.0,0,,,,,,,4.0
https://www.casasymas.com.uy/propiedad/106643-casa-en-venta-de-3-dormitorios-en-carrasco-sur-montevideo,375000.0,3,3.0,,100.0,200.0,1,0,Parrillero,LOSA RADIANTE,Oeste,Popiedad Horizontal,2.0,Cocina Definida,1997.0,Jardín,Acepta Mascotas,,,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/163851-casa-en-venta-de-3-dormitorios-con-garage-en-buceo-montevideo,280000.0,3,3.0,180.0,,,0,1,Parrillero,"Aire acondicionado, estufa a leña.",,,,Cocina Definida,,,,,,REJAS,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/142144-casa-en-venta-de-3-dormitorios-en-colon-montevideo,160000.0,3,1.0,515.0,146.0,,0,3,Parrillero,,Norte,,1.0,Cocina Definida,1960.0,Jardín,Acepta Mascotas,,,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/176366-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,640000.0,3,3.0,,154.0,288.0,1,2,Parrillero,,Norte,Popiedad Horizontal,2.0,Cocina Integrada,2024.0,Jardín,,,Piscina,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/103820-casa-en-venta-de-7-dormitorios-en-carrasco-montevideo,549000.0,7,5.0,752.0,332.0,752.0,0,3,,,,,,Cocina Definida,,Jardín,,,,,,,1,,,,,,,7.0
https://www.casasymas.com.uy/propiedad/122464-casa-en-venta-de-3-dormitorios-con-garage-en-buceo-montevideo,198000.0,3,1.0,110.0,75.0,110.0,0,1,,,Norte,,1.0,,,,,,,,Frente,,0,1.0,,,,,,3.0
https://www.casasymas.com.uy/propiedad/166257-casa-en-venta-de-5-dormitorios-en-san-nicolas-montevideo,1300000.0,5,5.0,755.0,273.0,755.0,1,5,Parrillero,Losa Radiante / Bomba de calor / AA,Norte,,2.0,Cocina Definida,2013.0,Jardín,Acepta Mascotas,,Piscina,Vigilancia 24 hs,,,1,,,,,,,5.0
https://www.casasymas.com.uy/propiedad/145158-casa-en-venta-de-2-dormitorios-en-camino-maldonado-montevideo,92000.0,2,1.0,500.0,93.0,,0,3,Parrillero,,Sur,Popiedad Horizontal,,Cocina Definida,1970.0,,Acepta Mascotas,,,,,,0,,,,,,,2.0
https://www.casasymas.com.uy/propiedad/188277-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,890000.0,4,4.0,749.0,330.0,,0,2,Parrillero,,Este,,2.0,Cocina Definida,1987.0,Jardín,Acepta Mascotas,,Piscina,,,,0,,,,,,,4.0
https://www.casasymas.com.uy/propiedad/57343-casa-en-venta-de-3-dormitorios-con-garage-en-pocitos-nuevo-montevideo,325000.0,3,2.0,158.0,158.0,73.0,0,1,Parrillero,,Este,,2.0,Cocina Definida,,Jardín,,,,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/125336-casa-en-venta-de-3-dormitorios-en-malvin-montevideo,385000.0,3,2.0,280.0,217.0,,0,3,,estufa a leña estufa grande de alto rendimiento. Aire acodicionado,,Popiedad Horizontal,,Cocina Definida,,,,,,"Rejas Perimetrales: Con portón motorizado. Sistema de Seguridad Completo: Incluye cerca eléctrica, sensores y cámaras exteriores. Rejas en Todas las Aberturas.",,,1,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/163178-casa-en-venta-de-3-dormitorios-con-garage-en-prado-montevideo,420000.0,3,3.0,,165.0,335.0,1,1,Parrillero,"Aire acondicionado, estufa a leña.",,,1.0,Cocina Integrada,,Jardín,Acepta Mascotas,,,"rejas, alarma, cerca perimetral",,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/132535-casa-en-venta-de-4-dormitorios-en-pocitos-montevideo,599000.0,4,2.0,241.0,140.0,70.0,0,2,,,Este,,3.0,Cocina Definida,1928.0,Jardín,Acepta Mascotas,,,,,,0,,Patio,,,,Lavadero,4.0
