url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Balcones,Dormitorios Servicio,Dormitorios Suite,Garage,Gastos Comúnes,Calefacción,Orientación,Disposición,Popiedad Horizontal,Piso,Cocina,Aptos por piso,Pisos Edificio,Seguridad,Ascensor,Acepta Mascotas,Año de Construcción,Plantas,Piscina,Parrillero,Muebles,Lavadero,Superficie Terreno,Altura,Jardín,Patio
https://www.casasymas.com.uy/propiedad/194889-venta-de-apartamento-con-renta-1-dormitorio-parque-rodo,U$S 127.000Venta,1,1,44 m²,42m²,2m²,,,,$U 5000,,Oeste,Frente,Popiedad Horizontal,3,Cocina Definida,2,10,,Ascensor,Acepta Mascotas,1999,,,,,,,,,
https://www.casasymas.com.uy/propiedad/135384-apartamento-en-venta-de-2-dormitorios-en-union-montevideo,U$S 78.000Venta,2,1,80 m²,80m²,,,,,$U 1900,,Norte,Frente,,,Cocina Definida,,,,,Acepta Mascotas,2014,,,,,,,,Jardín,
https://www.casasymas.com.uy/propiedad/82564-venta-de-apartamento-3-dormitorios-en-buceo-cosmos-home,U$S 552.700Venta,3,2,125 m²,88m²,125m²,,,,,,,,,,Cocina Definida,,1,,Ascensor,,,,,,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/176478-apartamento-de-dos-dormitorios-en-venta-en-punta-carretas-con-garaje-y-equipado,U$S 339.000Venta,2,2,75 m²,75m²,5m²,,,Garaje: 1,,,Sur,Frente,Popiedad Horizontal,4,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/174706-apartamento-en-venta-de-3-dormitorios-en-villa-biarritz-montevideo,U$S 335.000Venta,3,3,130 m²,120m²,,,,,UYU 17000,,Sur,Frente,,,Cocina Definida,,,,,Acepta Mascotas,1,,,,,,10m²,,,
https://www.casasymas.com.uy/propiedad/174264-venta-apartamento-pocitos,U$S 795.000Venta,3,5,260 m²,260m²,10m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 3,Garaje: 2,,bomba de calor central,Este,Frente,,5,Cocina Definida,1,10,spoter,Ascensor,Acepta Mascotas,,,,,,Lavadero,,,Jardín,
https://www.casasymas.com.uy/propiedad/200263-apartamento-en-venta-de-3-dormitorios-con-garage-en-golf-montevideo,U$S 650.000Venta,3,3,143 m²,143m²,,,Dormitorios en Suite: 1,Garaje: 1,$U 17140,,,,,,Cocina Definida,1,,,,Acepta Mascotas,1969,,,,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/83076-apartamento-en-venta-de-3-dormitorios-en-carrasco-montevideo,U$S 515.000Venta,3,3,113 m²,98m²,,,Dormitorios en Suite: 1,Garaje: 2,$U 16000,,,,,,Cocina Integrada,,,24 horas,Ascensor,,,,,,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/174051-venta-monoambiente-malvin-rambla,U$S 110.000Venta,Monoambiente,,36.27 m²,32m²,32m²,,,,UYU 4000,,Sur,Contrafrente,,,,,6,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/82175-apartamento-en-venta-de-3-dormitorios-en-cordon-montevideo,U$S 149.000Venta,3,1,98 m²,98m²,,,,,$U 5500,,Sur,,,,Cocina Definida,1,1,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/192077-venta-apartametno-rambla-punta-carretas,U$S 320.000Venta,2,2,91.7 m²,78m²,78m²,,,,UYU 6000,,Este,Frente,,,,,10,,Ascensor,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/123596-venta-monoambiente-tres-cruces,U$S 97.181Venta,Monoambiente,1,28 m²,28m²,,,,,$U 2500,,Este,Frente,Popiedad Horizontal,7,Cocina Integrada,4,11,Virtual 24 hs,Ascensor,Acepta Mascotas,2024,,,,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/128749-espectacular-piso-en-br-espana,U$S 560.000Venta,3,3,218 m²,185m²,23m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 1,Garaje: 2,UYU 34000,Losa radiante central a gas y aire acondicionado.,Oeste,Frente,,5,Cocina Definida,1,12,Portero L a S de 6:00 a 14:00 y Vigilancia remota 24hs,Ascensor,Acepta Mascotas,2008,,,Parrillero,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/70888-apartamento-en-venta-de-2-dormitorios-con-garage-en-punta-carretas-montevideo,U$S 300.000Venta,2,2,89 m²,89m²,,Dormitorios de Servicio: 1,,Garaje: 1,$U 6800,,Oeste,Frente,Popiedad Horizontal,4,Cocina Definida,,,,Ascensor,,1971,,,,,,,,,
https://www.casasymas.com.uy/propiedad/80412-apartamento-en-venta-de-2-dormitorios-en-pocitos-nuevo-montevideo,U$S 330.000Venta,2,1,66.53 m²,60m²,3m²,,,Garaje: 2,UYU 7000,,Oeste,Frente,Popiedad Horizontal,,,,1,,,,,1,,,,,,,,
https://www.casasymas.com.uy/propiedad/171282-venta-de-apartamento-2-dormitorio-a-pasos-de-la-rambla,U$S 135.000Venta,2,1,58 m²,58m²,,,,,,,Sur,Frente,,,Cocina Definida,,,,,,,,,,,,58m²,,,
https://www.casasymas.com.uy/propiedad/162791-venta-apartamento-2-dormitorios-un-bano-primer-piso-por-escalera-sobre-la-calle-propios,U$S 155.000Venta,2,1,74 m²,65m²,9m²,,,,UYU 5070,,Norte,Frente,Popiedad Horizontal,1,Cocina Definida,4,3,,,Acepta Mascotas,1951,,,,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/110091-venta-apartamento-en-carrasco-9420-3-dormitorios,U$S 580.000Venta,3,3,156 m²,143m²,156m²,,,Garaje: 2,UYU 38000,,Oeste,Frente,,,,1,1,,,,1,,,,,Lavadero,,,,
