url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Servicio,Dormitorios Suite,Garage,Parrillero,Calefacción,Orientación,Plantas,Cocina,Año de Construcción,Jardín,Acepta Mascotas,Superficie Balcones,Propiedad Horizontal,Seguridad,Piscina,Gastos Comúnes,Altura,Aptos por piso,Disposición,Muebles,Patio,Pisos Edificio,Lavadero,Piso
https://www.casasymas.com.uy/propiedad/169046-proximo-a-millan-y-micenas-padron-unico-en-1-planta,U$S 248.000Venta,3,2,255 m²,90m²,255m²,Dormitorios de Servicio: 2,Dormitorios en Suite: 1,Cochera: 1,Parrillero,Hogar,Oeste,1,Cocina Definida,1923,Jardín,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/183266-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,U$S 850.000Venta,4,3,429 m²,256m²,429m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 1,Garaje: 4,,,,,Cocina Definida,2005,Jardín,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/190147-hermosa-casa-3-dorm-reciclada,U$S 298.000Venta,3,3,230 m²,177m²,230m²,,,Garaje: 1,Parrillero,Hogar,,2,Cocina Definida,1958,Jardín,,40m²,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/940-casa-en-venta-de-3-dormitorios-con-garage-en-carrasco-montevideo,U$S 380.000Venta,3,3,130 m²,130m²,150m²,,Dormitorios en Suite: 1,Cochera: 1,Parrillero,losa radiante,Norte,2,Cocina Integrada,2024,Jardín,Acepta Mascotas,20m²,Propiedad Horizontal,virtual,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/165019-casa-en-venta-4-dormitorios-piscina-en-punta-gorda-ref-1721,U$S 685.000Venta,4,5,289 m²,268m²,811m²,,Dormitorios en Suite: 2,Cochera: 2,Parrillero,Radiadores,Este,2,Cocina Definida,1979,Jardín,,,,,Piscina,,,,,,,,,
https://www.casasymas.com.uy/propiedad/159162-casa-en-venta-de-2-dormitorios-en-tres-cruces-montevideo,U$S 119.000Venta,2,1,380 m²,62m²,380m²,,,,,,,,Cocina Definida,1960,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/133140-casa-en-venta-en-barrio-san-nicolas-3-dormitorios-servicio-ref-1627,U$S 1.780.000Venta,3,4,263 m²,263m²,1316m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 1,Cochera: 3,Parrillero,Losa radiante eléctrica,,2,Cocina Definida,2006,Jardín,Acepta Mascotas,,,,Piscina,,,,,,,,,
https://www.casasymas.com.uy/propiedad/117530-casa-en-alquiler-y-venta-de-8-dormitorios-en-pocitos-montevideo,U$S 1.500.000Venta,8,5,,444m²,666m²,Dormitorios de Servicio: 1,,Garaje: 2,Parrillero,radiadores por gas,Norte,2,Cocina Definida,1928,Jardín,Acepta Mascotas,38m²,,rejas y alarma,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/205399-venta-buceo-casa-3-dormitorios-gran-fondo-barbacoa-gge,U$S 370.000Venta,3,3,497 m²,195m²,497m²,,,Garaje: 1,,,,,Cocina Definida,1989,Jardín,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/204883-casa-en-venta-de-4-dormitorios-con-garage-en-carrasco-montevideo,U$S 380.000Venta,4,2,250 m²,180m²,250m²,,,Garaje: 1,,,,,Cocina Definida,1970,Jardín,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/186448-casa-en-venta-de-4-dormitorios-en-pocitos-montevideo,U$S 695.000Venta,4,4,,249m²,321m²,,Dormitorios en Suite: 1,Garaje: 2,Parrillero,,Este,2,Cocina Integrada,1927,Jardín,Acepta Mascotas,31m²,,Rejas alarma,Piscina,,,,,,,,,
https://www.casasymas.com.uy/propiedad/186450-casa-en-venta-de-3-dormitorios-en-carrasco-norte-montevideo,U$S 380.000Venta,3,3,130 m²,110m²,20m²,,,Cochera: 0,Parrillero,,,2,,,Jardín,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/204867-casa-en-venta-de-3-dormitorios-en-punta-gorda-montevideo,U$S 550.000Venta,3,5,480 m²,318m²,480m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 1,Garaje: 5,,,,,Cocina Definida,2015,Jardín,,,,,Piscina,,,,,,,,,
https://www.casasymas.com.uy/propiedad/190634-venta-de-hermosa-casa-de-epoca-en-cordon,U$S 180.000Venta,4,2,170 m²,165m²,170m²,,,Garaje: 3,,,,,Cocina Definida,1942,Jardín,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/207748-casa-ph-barrio-la-figurita,U$S 129.000Venta,3,2,94 m²,84m²,94m²,Dormitorios de Servicio: 1,,,,,,,Cocina Definida,1948,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/179495-casa-en-venta-de-4-dormitorios-con-garage-en-pocitos-montevideo,U$S 335.000Venta,4,2,137 m²,137m²,164m²,,,Garaje: 1,Parrillero,,,3,Cocina Integrada,,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/200931-venta-casa-de-categoria-5-dormitorios-servicio-san-nicolas-ref-1884,ConsultarVenta,5,5,494 m²,494m²,1029m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 2,Cochera: 4,Parrillero,Losa radiante,,2,Cocina Definida,2016,Jardín,,,,Seguridad 24hs,Piscina,$U 15000,,,,,,,,
https://www.casasymas.com.uy/propiedad/169340-venta-de-divina-casa-ph-en-parque-rodo,U$S 280.000Venta,3,2,148 m²,148m²,,,,Garaje: 1,,,,,,1,,,148m²,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/195148-casa-en-venta-de-4-dormitorios-con-garage-en-paso-molino-montevideo,U$S 250.000Venta,4,2,150 m²,135m²,150m²,,,Garaje: 1,,,,,Cocina Definida,1,Jardín,Acepta Mascotas,,,,,,3m,1,,,,,,
https://www.casasymas.com.uy/propiedad/90237-casa-en-venta-de-2-dormitorios-en-carrasco-montevideo,U$S 203.400Venta,2,2,,60m²,,,,Cochera: 0,Parrillero,,,,,,Jardín,,,,,Piscina,,,,,,,,,
https://www.casasymas.com.uy/propiedad/165774-palacio-delucchi,U$S 2.900.000Venta,7,5,,2461m²,722m²,Dormitorios de Servicio: 4,,Garaje: 6,,,,2,Cocina Definida,1891,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/136404-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,U$S 570.000Venta,3,2,240 m²,240m²,645m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 1,Garaje: 2,Parrillero,Radiadores a gasoil,Sur,2,Cocina Definida,1950,Jardín,Acepta Mascotas,,,"Alarma, rejas",,,,,,,,,,
https://www.casasymas.com.uy/propiedad/82127-vendo-casa-de-4-dormitorios-en-paso-molino,U$S 240.000Venta,4,3,390 m²,302m²,390m²,,,Garaje: 4,Parrillero,,Este,,Cocina Definida,1978,Jardín,,8m²,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/182440-muy-buen-padron-en-carrasco-norte,U$S 410.000Venta,3,3,211 m²,211m²,525m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 1,Garaje: 1,Parrillero,Tiro balanceado y estufa a leña,Este,2,Cocina Integrada,1967,Jardín,Acepta Mascotas,,,,Piscina,,,,,,,,,
https://www.casasymas.com.uy/propiedad/15925-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,U$S 380.000Venta,3,3,130 m²,110m²,20m²,,Dormitorios en Suite: 1,Cochera: 0,Parrillero,,,2,Cocina Integrada,2023,Jardín,Acepta Mascotas,,,Cerca eléctrica,,$U 4500,,,,,,,,
https://www.casasymas.com.uy/propiedad/207752-casa-antigua-a-reciclar-parque-rodo,U$S 275.000Venta,6,1,223 m²,185m²,223m²,Dormitorios de Servicio: 1,,,,,,,Cocina Definida,1938,Jardín,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/205647-venta-casa-punta-gorda-3-dormitorios-rambla-frente-al-mar-y-molino-de-perez-unica,U$S 650.000Venta,3,4,260 m²,260m²,650m²,Dormitorios de Servicio: 1,,Garaje: 2,Parrillero,"Estufa a leña , Aire Acondicionado",,1,Cocina Definida,,Jardín,,,Propiedad Horizontal,,Piscina,,,,Frente,,,,,
https://www.casasymas.com.uy/propiedad/168585-oportunidad-gran-terreno-en-esquina-sobre-av-italia,U$S 640.000Venta,4,2,238 m²,218m²,899m²,Dormitorios de Servicio: 1,,Garaje: 2,,Aire Acondicionado y hogar,Oeste,1,Cocina Definida,1959,Jardín,Acepta Mascotas,,,CCTV,Piscina,,,,,,,,,
https://www.casasymas.com.uy/propiedad/205414-venta-casa-3-dormitorios-2-banos-gran-fondo-parrillero-ygge,U$S 260.000Venta,3,2,715 m²,158m²,715m²,,,Garaje: 1,,,,,Cocina Definida,1976,Jardín,,,,,,,,,,Muebles,,,,
https://www.casasymas.com.uy/propiedad/154395-venta-casa-4-dormitorios-parque-batlle-montevideo,U$S 335.000Venta,4,3,119 m²,119m²,71m²,,,Garaje: 1,,,Norte,,,1,,,119m²,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/204716-excelente-propiedad-en-dos-plantas-c-garaje-y-barbacoa,U$S 120.000Venta,4,2,350 m²,240m²,350m²,,,Garaje: 3,,,,,Cocina Definida,1990,Jardín,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/142877-venta-casa-de-3-dormitorios-punta-gorda-montevideo,U$S 580.000Venta,3,3,185 m²,185m²,199m²,,,Garaje: 1,,,,,,1,Jardín,,185m²,,,,,,,Frente,,Patio,1,,
https://www.casasymas.com.uy/propiedad/205415-casa-venta-4-dormitorios-barbacoa-garage-pocitos-nuevo,U$S 388.000Venta,4,2,295 m²,211m²,295m²,,,Garaje: 1,,,,,Cocina Definida,1974,Jardín,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/205230-casa-de-3-dormitorios-en-punta-gorda,U$S 600.000Venta,3,2,,300m²,480m²,Dormitorios de Servicio: 1,,Garaje: 1,,,,,Cocina Definida,,,,,,,Piscina,,,,,,,,,
https://www.casasymas.com.uy/propiedad/128325-excelente-casa-de-altos-duplex-a-1-cuadra-del-shopping,U$S 175.000Venta,3,2,100 m²,100m²,,,Dormitorios en Suite: 1,,Parrillero,Hogar,,2,Cocina Definida,1948,,Acepta Mascotas,,Propiedad Horizontal,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/204693-excelente-ubicacion-en-el-prado-casa-en-venta,U$S 172.000Venta,3,,100 m²,80m²,100m²,,,,,,,,Cocina Definida,1975,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/173084-oportunidad-unica-en-carrasco-ideal-para-empresa-o-inversion,U$S 1.650.000Venta,10,10,972 m²,895m²,,,,Garaje: 2,Parrillero,,Este,2,,1949,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/186603-casa-en-venta-de-4-dormitorios-en-parque-batlle-montevideo,U$S 675.000Venta,4,4,,242m²,268m²,,,Garaje: 2,Parrillero,,,3,,,Jardín,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/204844-casa-en-venta-de-5-dormitorios-en-carrasco-montevideo,U$S 1.500.000Venta,5,4,1330 m²,730m²,1330m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 1,Garaje: 10,,,,,Cocina Definida,2008,Jardín,,,,,Piscina,,,,,,,,,
https://www.casasymas.com.uy/propiedad/109270-venta-y-alquiler-casa-3-dormitorios-serv-punta-gorda-ciudad-de-guayaquil-en-la-mejor-calle,U$S 600.000Venta,3,3,300 m²,300m²,480m²,Dormitorios de Servicio: 1,,Garaje: 1,Parrillero,,,1,Cocina Definida,1993,,,,,,Piscina,,,,,,,,,
https://www.casasymas.com.uy/propiedad/194576-venta-casa-4-dormitorios-servicio-punta-gorda-ref-1879,U$S 850.000Venta,4,5,295 m²,277m²,594m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 1,Garaje: 1,Parrillero,Losa radiante a gas,Oeste,2,Cocina Integrada,1941,Jardín,,,,,Piscina,,,,,,,,,
https://www.casasymas.com.uy/propiedad/204831-casa-en-venta-de-4-dormitorios-en-punta-gorda-montevideo,U$S 550.000Venta,4,5,600 m²,375m²,600m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 2,Garaje: 2,,,,,Cocina Definida,1890,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/200339-casa-en-venta-de-3-dormitorios-con-garage-en-buceo-montevideo,U$S 330.000Venta,3,1,138 m²,126m²,193m²,,,Garaje: 1,Parrillero,,,1,Cocina Definida,1957,Jardín,,12m²,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/200968-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,U$S 695.000Venta,4,3,210 m²,210m²,,,,Garaje: 2,,,Norte,,Cocina Definida,2025,Jardín,Acepta Mascotas,,,,Piscina,,,,,,,,,
https://www.casasymas.com.uy/propiedad/204771-casa-en-venta-de-4-dormitorios-en-pocitos-nuevo-montevideo,U$S 735.000Venta,4,3,336 m²,187m²,336m²,,Dormitorios en Suite: 1,Garaje: 2,,,,,Cocina Definida,1962,Jardín,Acepta Mascotas,,,,Piscina,,,,,,,,,
https://www.casasymas.com.uy/propiedad/194470-casa-en-venta-de-5-dormitorios-con-garage-en-centro-montevideo,U$S 267.000Venta,5,3,301 m²,174m²,,,,Garaje: 1,,,Este,,Cocina Definida,1,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/206369-casa-en-venta-de-3-dormitorios-en-palermo-montevideo,U$S 128.000Venta,3,2,105 m²,105m²,,,,,,,Este,,Cocina Definida,2025,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/142144-casa-en-venta-de-3-dormitorios-en-colon-montevideo,U$S 160.000Venta,3,1,515 m²,146m²,,,,Cochera: 3,Parrillero,,Norte,1,Cocina Definida,1960,Jardín,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/128645-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,U$S 1.750.000Venta,3,3,1050 m²,363m²,1050m²,,Dormitorios en Suite: 1,,Parrillero,Losa Radiante Eléctrica,Norte,2,Cocina Definida,2007,Jardín,Acepta Mascotas,63m²,,Seguridad 24hs del Barrio San Nicolas,Piscina,,,,,,,,,
https://www.casasymas.com.uy/propiedad/195315-casa-en-venta-de-3-dormitorios-con-garage-en-pocitos-montevideo,U$S 345.000Venta,3,2,134 m²,134m²,,,,Garaje: 1,,,Oeste,,Cocina Definida,1,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/192087-casa-en-venta-de-3-dormitorios-con-garage-en-jacinto-vera-montevideo,U$S 147.000Venta,3,1,80 m²,102m²,65m²,,,Garaje: 1,,,Este,2,,,,,22m²,,,,,,,,,,2,,
https://www.casasymas.com.uy/propiedad/204053-casa-en-venta-de-5-dormitorios-en-la-blanqueada-montevideo,U$S 360.000Venta,5,3,427 m²,224m²,,,,Garaje: 2,Parrillero,"estufa a leña, aire acondicionado",,2,Cocina Definida,1960,Jardín,,,,"rejas, alarma, cámaras de vigilancia",,,,,,,,,,
https://www.casasymas.com.uy/propiedad/129840-casa-en-venta-de-5-dormitorios-en-carrasco-montevideo,U$S 2.300.000Venta,5,6,,575m²,2696m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 3,Garaje: 0,Parrillero,Calefacción a gas,Norte,2,,1960,Jardín,Acepta Mascotas,,,Alarma y Cámaras,Piscina,,,,,,,,,
https://www.casasymas.com.uy/propiedad/147563-casa-en-venta-de-5-dormitorios-en-prado-montevideo,U$S 390.000Venta,5,4,678 m²,360m²,678m²,,,,,,,,Cocina Definida,1928,,,,,,,,,,Frente,,,,,
https://www.casasymas.com.uy/propiedad/151084-casa-en-venta-de-3-dormitorios-con-garage-en-malvin-montevideo,U$S 259.000Venta,3,2,105 m²,90m²,,,,Cochera: 1,Parrillero,,Oeste,2,Cocina Integrada,2025,Jardín,Acepta Mascotas,,Propiedad Horizontal,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/158800-casa-en-venta-de-4-dormitorios-con-garage-en-pocitos-montevideo,U$S 895.000Venta,4,3,304 m²,235m²,304m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 2,Garaje: 1,,,,,Cocina Definida,1975,Jardín,Acepta Mascotas,,,,Piscina,,,,,,,,,
https://www.casasymas.com.uy/propiedad/198329-casa-en-venta-de-4-dormitorios-en-carrasco-norte-montevideo,U$S 780.000Venta,4,,283 m²,283m²,697m²,,,,,,Sur,,,1970,,Acepta Mascotas,283m²,,,,,,,Frente,,,,,
https://www.casasymas.com.uy/propiedad/160318-casa-en-venta-de-3-dormitorios-en-jacinto-vera-montevideo,U$S 168.000Venta,3,1,82 m²,82m²,82m²,,,,,,,,Cocina Definida,1941,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/181965-casa-en-venta-de-2-dormitorios-con-garage-en-buceo-montevideo,U$S 187.000Venta,2,1,163 m²,91m²,,,,Cochera: 1,Parrillero,,,1,Cocina Integrada,1960,Jardín,Acepta Mascotas,,Propiedad Horizontal,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/205390-casa-en-venta-de-3-dormitorios-con-garage-en-carrasco-montevideo,U$S 600.000Venta,3,3,502 m²,213m²,502m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 1,Garaje: 1,,,,,Cocina Definida,1990,Jardín,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/179495-casa-en-venta-de-4-dormitorios-con-garage-en-pocitos-montevideo,U$S 335.000Venta,4,2,137 m²,137m²,164m²,,,Garaje: 1,Parrillero,,,3,Cocina Integrada,,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/203063-casa-en-venta-de-3-dormitorios-en-malvin-montevideo,U$S 290.000Venta,3,2,120 m²,120m²,210m²,,,,,,Este,,,,,,120m²,,,,,,,Frente,,,1,,
https://www.casasymas.com.uy/propiedad/68868-casa-en-venta-de-4-dormitorios-con-garage-en-manga-montevideo,U$S 295.000Venta,4,2,632 m²,121m²,511m²,,,Garaje: 1,,Aire acondicionado,,,Cocina Definida,,Jardín,,,,,Piscina,,,,,,,,,
https://www.casasymas.com.uy/propiedad/184718-venta-casa-de-diseno-amoblada-en-punta-carretas-4106,U$S 785.000Venta,3,3,316 m²,173m²,316m²,,,,,,,,,1,Jardín,,316m²,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/181628-casa-en-venta-de-2-dormitorios-en-paso-molino-montevideo,U$S 129.000Venta,2,1,206 m²,132m²,120m²,,,Cochera: 2,,,,1,Cocina Definida,1910,Jardín,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/202637-casa-para-empresa-en-venta-en-pocitos-con-renta-oportunidad,U$S 378.000Venta,15,7,,396m²,429m²,,,Garaje: 0,,,Norte,,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/202350-venta-de-casa-2-dormitorios-ph-malvin-sur-cochera,U$S 189.000Venta,2,2,59 m²,53m²,189m²,,,Cochera: 1,,,Oeste,2,Cocina Definida,1952,,Acepta Mascotas,6m²,Propiedad Horizontal,,,,,,,Muebles,,,,
https://www.casasymas.com.uy/propiedad/120146-casa-en-venta-de-3-dormitorios-con-garage-en-punta-gorda-montevideo,U$S 690.000Venta,3,3,305 m²,176m²,305m²,Dormitorios de Servicio: 1,,Garaje: 1,,,Sur,,Cocina Definida,,,,,,,,,,,Frente,,,,,
https://www.casasymas.com.uy/propiedad/153933-casa-en-venta-de-3-dormitorios-en-maronas-montevideo,U$S 129.000Venta,3,1,205 m²,83m²,,,,Cochera: 2,,,Norte,1,Cocina Definida,1963,Jardín,Acepta Mascotas,,Propiedad Horizontal,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/145158-casa-en-venta-de-2-dormitorios-en-camino-maldonado-montevideo,U$S 92.000Venta,2,1,500 m²,93m²,,,,Cochera: 3,Parrillero,,Sur,,Cocina Definida,1970,,Acepta Mascotas,,Propiedad Horizontal,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/206512-casa-en-venta-de-3-dormitorios-en-pocitos-con-garaje,U$S 295.000Venta,3,2,120 m²,,,,,Garaje: 1,,,Norte,2,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/175617-casa-en-venta-de-2-dormitorios-en-pocitos-montevideo,U$S 158.000Venta,2,1,70 m²,61m²,70m²,,,,,,,,Cocina Definida,1960,,,,,,,UYU 4500,3m,1,,,Patio,,Lavadero,
https://www.casasymas.com.uy/propiedad/158792-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,U$S 890.000Venta,4,6,1814 m²,300m²,1814m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 2,Garaje: 4,,,,,Cocina Definida,1960,Jardín,Acepta Mascotas,,,,,,3m,1,,,,,,
https://www.casasymas.com.uy/propiedad/192689-casa-en-alquiler-y-venta-de-4-dormitorios-en-carrasco-montevideo,U$S 2.200.000Venta,4,7,,510m²,1128m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 2,,Parrillero,losa radiante eléctrica,,,,,Jardín,Acepta Mascotas,,,,Piscina,,,,,,,,,
