url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Servicio,Dormitorios Suite,Garage,Parrillero,Calefacción,Orientación,Plantas,Cocina,Año de Construcción,Jardín,Acepta Mascotas,Superficie Balcones,Propiedad Horizontal,Seguridad,Piscina,Gastos Comúnes,Altura,Aptos por piso,Disposición,Muebles,Patio,Pisos Edificio,Lavadero,Piso
https://www.casasymas.com.uy/propiedad/204053-casa-en-venta-de-5-dormitorios-en-la-blanqueada-montevideo,U$S 360.000Venta,5,3,427 m²,224m²,,,,Garaje: 2,Parrillero,"estufa a leña, aire acondicionado",,2,Cocina Definida,1960,Jardín,,,,"rejas, alarma, cámaras de vigilancia",,,,,,,,,,
https://www.casasymas.com.uy/propiedad/183394-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,U$S 380.000Venta,3,2,197 m²,109m²,197m²,,Dormitorios en Suite: 1,,,,,,Cocina Definida,2025,,,,,,,,,,Frente,,,,Lavadero,
https://www.casasymas.com.uy/propiedad/209262-venta-casa-centro-ideal-para-constructora,U$S 280.000Venta,11,2,785 m²,519m²,785m²,,,,,,,,Cocina Definida,1970,,,,,,,,3m,1,,,,,,
https://www.casasymas.com.uy/propiedad/143160-casa-en-venta-de-3-dormitorios-en-prado-montevideo,U$S 345.000Venta,3,2,230 m²,100m²,200m²,,,Cochera: 2,Parrillero,Estufa de leña A/A Losa Rdiante,Norte,,Cocina Integrada,2024,Jardín,Acepta Mascotas,,Propiedad Horizontal,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/5136-casa-la-comercial-venta-4-dormitorios-a-1-cuadra-de-arenal-grande-y-amezaga,U$S 170.000Venta,5,2,176 m²,,175m²,,,Garaje: 1,,,,1,Cocina Definida,1908,,,,Propiedad Horizontal,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/207754-antigua-casa-en-parque-rodo-a-reciclar,U$S 199.000Venta,3,1,92 m²,96m²,92m²,Dormitorios de Servicio: 1,,,,,,,Cocina Definida,1925,,Acepta Mascotas,,,,,,3m,1,,Muebles,,,Lavadero,
https://www.casasymas.com.uy/propiedad/206630-casa-en-venta-de-2-dormitorios-en-tres-cruces,U$S 85.000Venta,2,1,71 m²,71m²,71m²,,,,,,Norte,1,Cocina Integrada,1941,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/209205-venta-casa-de-dos-dormitorios-en-union,U$S 155.000Venta,2,1,87 m²,87m²,87m²,,,Garaje: 1,,,,,Cocina Definida,1990,Jardín,Acepta Mascotas,,,,,,3m,1,,,,,,
https://www.casasymas.com.uy/propiedad/205807-casa-de-4-dormitorios,U$S 590.000Venta,4,2,400 m²,180m²,400m²,,Dormitorios en Suite: 1,Garaje: 1,,,,,Cocina Definida,1998,Jardín,Acepta Mascotas,,,,,,3m,1,,,,,,
https://www.casasymas.com.uy/propiedad/190914-venta-casa-3-dormitorios-carrasco-ayres-polo,U$S 389.000Venta,3,2,168 m²,93m²,,,,,,,Norte,,,,Jardín,Acepta Mascotas,168m²,,,,,,,Frente,,Patio,2,Lavadero,
https://www.casasymas.com.uy/propiedad/111111-casa-en-venta-de-4-dormitorios-en-parque-batlle-montevideo,U$S 1.090.000Venta,4,3,606 m²,463m²,606m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 2,Garaje: 2,Parrillero,,Este,2,Cocina Definida,1948,Jardín,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/207744-casa-ph-barrio-goes,U$S 129.000Venta,3,2,94 m²,84m²,94m²,Dormitorios de Servicio: 1,,,,,,,Cocina Definida,1948,,Acepta Mascotas,,,,,,3m,1,,,Patio,,,
https://www.casasymas.com.uy/propiedad/178685-casa-en-venta-de-2-dormitorios-en-carrasco-montevideo,U$S 775.000Venta,2,2,300 m²,199m²,300m²,Dormitorios de Servicio: 1,,,,,Oeste,,Cocina Definida,1956,,,,,,,,,,Frente,,,,Lavadero,
https://www.casasymas.com.uy/propiedad/172496-casa-en-venta-de-3-dormitorios-en-parques-montevideo,U$S 980.000Venta,3,3,495 m²,201m²,495m²,,Dormitorios en Suite: 1,Cochera: 2,Parrillero,LOSA RADIANTE,Este,,Cocina Definida,2024,Jardín,,,Propiedad Horizontal,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/200555-venta-casa-tres-cruces-2-dormitorios-culta-y-martin-c-martinez-padron-unico-proxima-terminal-3-cruc,U$S 215.000Venta,2,2,120 m²,120m²,220m²,,,Garaje: 1,Parrillero,,,1,Cocina Definida,2016,Jardín,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/181965-casa-en-venta-de-2-dormitorios-con-garage-en-buceo-montevideo,U$S 187.000Venta,2,1,163 m²,91m²,,,,Cochera: 1,Parrillero,,,1,Cocina Integrada,1960,Jardín,Acepta Mascotas,,Propiedad Horizontal,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/200979-casa-en-venta-de-12-dormitorios-en-cordon-montevideo,U$S 550.000Venta,12,5,423 m²,370m²,138m²,,,Garaje: 0,,,Norte,3,,,,,,,,,,,,,,,3,,
https://www.casasymas.com.uy/propiedad/208656-venta-casa-la-blanqueada-3-dormitorios-parrillero-garage,U$S 190.000Venta,3,2,174 m²,145m²,174m²,,,Garaje: 2,,,,,Cocina Definida,1953,,Acepta Mascotas,,,,,,3m,1,,,Patio,,Lavadero,
https://www.casasymas.com.uy/propiedad/184718-venta-casa-de-diseno-amoblada-en-punta-carretas-4106,U$S 785.000Venta,3,3,316 m²,173m²,316m²,,,,,,,,,1,Jardín,,316m²,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/1296-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,U$S 390.000Venta,3,,,155m²,250m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 1,,Parrillero,,,,,,Jardín,Acepta Mascotas,,,,Piscina,$U 6000,,,,,,,,
https://www.casasymas.com.uy/propiedad/205051-venta-casa-12-habitaciones-7-banos-con-renta,U$S 400.000Venta,12,7,444 m²,389m²,444m²,,,Garaje: 1,,,,3,,1924,,,,,,,,,,,,,,,
