url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Suite,Garage,Parrillero,Calefacción,Muebles,Orientación,Plantas,Año de Construcción,Seguridad,Jardín,Acepta Mascotas,Dormitorios Servicio,Piscina,Cocina,Popiedad Horizontal,Gastos Comúnes,Patio,Superficie Balcones,Disposición,Pisos Edificio,Lavadero,Altura,Aptos por piso,Ascensor,Piso
https://www.casasymas.com.uy/propiedad/160639-casa-en-venta-de-2-dormitorios-en-barra-de-carrasco-canelones,U$S 179.000Venta,2,1,10 m²,97m²,10m²,,,,,,,,2000,,,Acepta Mascotas,,,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/130373-casa-en-venta-de-3-dormitorios-en-carrasco-norte-montevideo,U$S 385.000Venta,3,3,,114m²,76m²,Dormitorios en Suite: 1,,Parrillero,,,,,,,Jardín,,,,Cocina Integrada,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/186603-casa-en-venta-de-4-dormitorios-en-parque-batlle-montevideo,U$S 675.000Venta,4,4,,242m²,268m²,,Garaje: 2,Parrillero,,,,3,,,Jardín,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/89923-casa-en-venta-de-4-dormitorios-en-punta-gorda-montevideo,U$S 398.000Venta,4,2,190 m²,143m²,195m²,,Garaje: 6,,,,Este,2,,,,,,,,,,,,Frente,2,,,,,
https://www.casasymas.com.uy/propiedad/105515-casa-en-venta-de-2-dormitorios-en-cordon-montevideo,U$S 138.000Venta,2,1,93 m²,93m²,94m²,,Garaje: 0,,,,Norte,1,,,,,,,,,,,,Frente,1,,,,,
https://www.casasymas.com.uy/propiedad/162080-casa-en-venta-de-3-dormitorios-en-carrasco-norte-montevideo,U$S 458.000Venta,3,3,293 m²,150m²,293m²,Dormitorios en Suite: 1,,,,,,,2006,,,,,Piscina,Cocina Definida,,,,,Frente,,,,,,
https://www.casasymas.com.uy/propiedad/166219-casa-en-alquiler-y-venta-de-5-dormitorios-en-lomas-de-la-tahona-canelones,U$S 680.000Venta,5,5,1250 m²,510m²,1250m²,Dormitorios en Suite: 5,Cochera: 0,Parrillero,losa radiante electrica,,Norte,2,,,Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,Piscina,Cocina Definida,,$U 20000,,,,,,,,,
https://www.casasymas.com.uy/propiedad/129016-casa-en-venta-de-3-dormitorios-en-pinares-maldonado,U$S 280.000Venta,3,,600 m²,273m²,600m²,Dormitorios en Suite: 1,,,,,,,,,,,,Piscina,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/122278-casa-en-venta-de-3-dormitorios-con-garage-en-parque-batlle-montevideo,U$S 298.000Venta,3,2,120 m²,100m²,120m²,,Garaje: 1,,,,Norte,2,,,,,,,,,,,20m²,Frente,2,,,,,
https://www.casasymas.com.uy/propiedad/139790-venta-casa-ph-3-dormitorios-en-carrasco-sur-proyecto-casa-h-ref-1641,U$S 810.000Venta,3,3,195 m²,195m²,,Dormitorios en Suite: 1,Garaje: 2,Parrillero,,Muebles,,2,,,Jardín,Acepta Mascotas,,,Cocina Integrada,Popiedad Horizontal,,,27m²,,,,,,,
https://www.casasymas.com.uy/propiedad/60458-casa-en-venta-de-2-dormitorios-en-solanas-maldonado,U$S 350.000Venta,2,2,135 m²,97m²,500m²,Dormitorios en Suite: 2,Cochera: 2,Parrillero,,,,1,,,Jardín,Acepta Mascotas,,,Cocina Integrada,,,,38m²,,,,,,,
https://www.casasymas.com.uy/propiedad/137271-casa-en-venta-de-4-dormitorios-en-carrasco-este-montevideo,U$S 1.690.000Venta,4,6,1035 m²,435m²,600m²,,Garaje: 4,,,,Norte,2,1,,Jardín,Acepta Mascotas,,Piscina,Cocina Definida,,$U 30000,,,,,,,,,
https://www.casasymas.com.uy/propiedad/185077-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,U$S 410.000Venta,3,3,290 m²,140m²,290m²,Dormitorios en Suite: 1,Garaje: 2,,,,,,1,,Jardín,Acepta Mascotas,,,Cocina Definida,,,,,,,Lavadero,3m,1,,
https://www.casasymas.com.uy/propiedad/153425-casa-en-venta-de-5-dormitorios-en-atlantida-canelones,U$S 332.000Venta,5,3,656 m²,212m²,,,Cochera: 3,Parrillero,,Muebles,,2,2004,,Jardín,,,Piscina,Cocina Integrada,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/1490-casa-en-alquiler-y-venta-de-3-dormitorios-en-altos-de-la-tahona-canelones,U$S 550.000Venta,3,4,,150m²,1300m²,,,,Losa radiante electrica,,,1,,,Jardín,,,Piscina,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/170432-casa-en-venta-de-2-dormitorios-en-piriapolis-maldonado,U$S 160.000Venta,2,1,250 m²,51m²,250m²,,,,,,,,,,,,,,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/163087-casa-en-venta-de-3-dormitorios-con-garage-en-carrasco-montevideo,U$S 385.000Venta,3,2,207 m²,114m²,207m²,Dormitorios en Suite: 1,Garaje: 1,,,,,,2025,,Jardín,Acepta Mascotas,,,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/201786-vendo-gran-casa-de-3-dormitorios-en-punta-carretas,U$S 1.065.000Venta,3,3,308 m²,,350m²,,Garaje: 3,,,,Norte,3,,,,,Dormitorios de Servicio: 1,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/150898-casa-en-venta-de-4-dormitorios-con-garage-en-buceo-montevideo,U$S 345.000Venta,4,2,139 m²,154m²,139m²,,Garaje: 1,Parrillero,estufa a leña y aire acondicionado,,Este,3,1950,Alarma,,,,,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/195148-casa-en-venta-de-4-dormitorios-con-garage-en-paso-molino-montevideo,U$S 250.000Venta,4,2,150 m²,135m²,150m²,,Garaje: 1,,,,,,1,,Jardín,Acepta Mascotas,,,Cocina Definida,,,,,,,,3m,1,,
https://www.casasymas.com.uy/propiedad/153933-casa-en-venta-de-3-dormitorios-en-maronas-montevideo,U$S 129.000Venta,3,1,205 m²,83m²,,,Cochera: 2,,,,Norte,1,1963,,Jardín,Acepta Mascotas,,,Cocina Definida,Popiedad Horizontal,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/177316-casa-en-venta-de-4-dormitorios-en-prado-montevideo,U$S 850.000Venta,4,2,612 m²,328m²,612m²,,Garaje: 4,,,,,,1945,,Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/146765-casa-en-venta-de-6-dormitorios-en-punta-gorda-montevideo,U$S 645.000Venta,6,4,270 m²,270m²,510m²,,Garaje: 3,,,,Norte,2,,,,,,Piscina,,,,,,Frente,2,,,,,
https://www.casasymas.com.uy/propiedad/169881-casa-en-venta-de-3-dormitorios-en-san-francisco-maldonado,U$S 380.000Venta,3,2,292 m²,100m²,292m²,Dormitorios en Suite: 1,,,,,Este,,2023,,,,,Piscina,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/183831-venta-casa-carrasco,U$S 435.000Venta,3,2,184 m²,139m²,45m²,,,,,,Norte,,,,Jardín,,,Piscina,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/151851-venta-casa-en-la-barra-punta-del-este-9637,U$S 2.400.000Venta,8,10,1650 m²,600m²,1650m²,,Garaje: 6,,,,Oeste,,1,,Jardín,,,Piscina,,,,,1650m²,Frente,1,Lavadero,,,Ascensor,
https://www.casasymas.com.uy/propiedad/57343-casa-en-venta-de-3-dormitorios-con-garage-en-pocitos-nuevo-montevideo,U$S 325.000Venta,3,2,158 m²,158m²,73m²,,Garaje: 1,Parrillero,,,Este,2,,,Jardín,,,,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/115548-casa-en-venta-de-2-dormitorios-con-garage-en-san-jose-de-carrasco-canelones,U$S 158.000Venta,2,1,70 m²,56m²,70m²,,Cochera: 1,,,Muebles,Norte,1,2024,,Jardín,Acepta Mascotas,,,Cocina Integrada,Popiedad Horizontal,UYU 1300,,,,,,,,,
